2025-09-14 12:26:20 | Classe: Msys_GEFILE_CLS01_GESTIONI | Funzione: ApriFileConApplicazionePredefinita | Evento: File aperto con applicazione predefinita: C:\TMP\OPERAZIONE\2024_10_03_ASL_RINNOVO_MEDICO_(Mollicone)_(scade_03.10.2025).pdf
2025-09-14 12:26:20 | Classe: Msys_GEFILE_CLS01_GESTIONI | Funzione: Cmd_FILTER_Click | Evento: File aperto correttamente: C:\TMP\OPERAZIONE\2024_10_03_ASL_RINNOVO_MEDICO_(Mollicone)_(scade_03.10.2025).pdf
2025-10-05 11:04:17 | Classe: Msys_GEFILE_CLS01_GESTIONI | Funzione: TxtPercorso_TXT_DblClick | Evento: Cartella aperta: C:\cygwin64\Cygwin.ico
2025-10-05 11:04:18 | Classe: Msys_GEFILE_CLS01_GESTIONI | Funzione: TxtPercorso_TXT_DblClick | Evento: Cartella aperta: C:\cygwin64\Cygwin.ico
2025-10-05 11:04:19 | Classe: Msys_GEFILE_CLS01_GESTIONI | Funzione: TxtPercorso_TXT_DblClick | Evento: Cartella aperta: C:\cygwin64\Cygwin.ico
2025-10-05 11:04:19 | Classe: Msys_GEFILE_CLS01_GESTIONI | Funzione: TxtPercorso_TXT_DblClick | Evento: Cartella aperta: C:\cygwin64\Cygwin.ico
2025-10-05 11:04:23 | Classe: Msys_GEFILE_CLS01_GESTIONI | Funzione: PATH_BASE_TXT_Click | Evento: Cartella aperta: c:\CASA\LINGUAGGI\ACCESS\PROGETTI_MDB\MSYS_OGGETTI\MSYS\OBJECT\PDF\
2025-10-05 11:04:24 | Classe: Msys_GEFILE_CLS01_GESTIONI | Funzione: PATH_BASE_TXT_Click | Evento: Cartella aperta: c:\CASA\LINGUAGGI\ACCESS\PROGETTI_MDB\MSYS_OGGETTI\MSYS\OBJECT\PDF\
2025-10-05 11:04:25 | Classe: Msys_GEFILE_CLS01_GESTIONI | Funzione: PATH_BASE_TXT_Click | Evento: Cartella aperta: c:\CASA\LINGUAGGI\ACCESS\PROGETTI_MDB\MSYS_OGGETTI\MSYS\OBJECT\PDF\
2025-10-05 11:04:25 | Classe: Msys_GEFILE_CLS01_GESTIONI | Funzione: PATH_BASE_TXT_Click | Evento: Cartella aperta: c:\CASA\LINGUAGGI\ACCESS\PROGETTI_MDB\MSYS_OGGETTI\MSYS\OBJECT\PDF\
2025-10-05 11:04:25 | Classe: Msys_GEFILE_CLS01_GESTIONI | Funzione: PATH_BASE_TXT_Click | Evento: Cartella aperta: c:\CASA\LINGUAGGI\ACCESS\PROGETTI_MDB\MSYS_OGGETTI\MSYS\OBJECT\PDF\
2025-10-05 11:04:26 | Classe: Msys_GEFILE_CLS01_GESTIONI | Funzione: PATH_BASE_TXT_Click | Evento: Cartella aperta: c:\CASA\LINGUAGGI\ACCESS\PROGETTI_MDB\MSYS_OGGETTI\MSYS\OBJECT\PDF\
2025-10-05 11:04:28 | Classe: Msys_GEFILE_CLS01_GESTIONI | Funzione: ApriFileConApplicazionePredefinita | Evento: File aperto con applicazione predefinita: C:\cygwin64\Cygwin.ico
2025-10-05 11:04:28 | Classe: Msys_GEFILE_CLS01_GESTIONI | Funzione: Cmd_FILTER_Click | Evento: File aperto correttamente: C:\cygwin64\Cygwin.ico
2025-10-05 11:04:50 | Classe: Msys_GEFILE_CLS01_GESTIONI | Funzione: PATH_BASE_TXT_Click | Evento: Cartella aperta: c:\CASA\LINGUAGGI\ACCESS\PROGETTI_MDB\MSYS_OGGETTI\MSYS\OBJECT\PDF\
